Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
LAX,"Los Angeles, CA: Los Angeles International",1877,20,144,337,4576,17491,237466
LGA,"New York, NY: LaGuardia",779,1,178,856,3693,9741,225649
MCO,"Orlando, FL: Orlando International",1172,6,100,112,3287,10705,183134
MDW,"Chicago, IL: Chicago Midway International",819,8,110,381,1839,7263,105526
MIA,"Miami, FL: Miami International",557,2,79,90,1876,5304,107928
MSP,"Minneapolis, MN: Minneapolis-St Paul International",924,7,89,336,2950,10848,166880
ORD,"Chicago, IL: Chicago O'Hare International",3579,8,304,3482,11011,27987,841794
PDX,"Portland, OR: Portland International",455,1,28,60,1039,4545,52859
PHL,"Philadelphia, PA: Philadelphia International",702,3,114,329,2318,7809,155722
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1299,12,89,335,3618,16595,188163
SAN,"San Diego, CA: San Diego International",779,6,54,105,1891,7478,97130
SEA,"Seattle, WA: Seattle/Tacoma International",730,3,45,100,2028,7977,101725
SFO,"San Francisco, CA: San Francisco International",1041,4,109,294,3611,10817,242759
SLC,"Salt Lake City, UT: Salt Lake City International",1392,19,107,166,2615,11681,128948
TPA,"Tampa, FL: Tampa International",677,4,59,80,1896,6589,99487
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2619,11,616,796,10144,36089,627830
BOS,"Boston, MA: Logan International",862,4,118,279,2558,10401,146114
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1009,12,64,91,2060,8858,104566
CLT,"Charlotte, NC: Charlotte Douglas International",636,14,69,216,2386,10594,120020
DCA,"Washington, DC: Ronald Reagan Washington National",561,4,71,268,1622,7400,80101
DEN,"Denver, CO: Denver International",1713,18,126,333,4508,20604,222103
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2485,6,245,1660,5933,23486,350688
DTW,"Detroit, MI: Detroit Metro Wayne County",1285,6,79,448,3211,14329,180726
EWR,"Newark, NJ: Newark Liberty International",1169,6,131,506,4966,12580,389601
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",744,6,34,58,2232,6881,119090
IAD,"Washington, DC: Washington Dulles International",636,2,34,154,1630,6886,94936
IAH,"Houston, TX: George Bush Intercontinental/Houston",1397,18,135,449,3919,16460,273759
JFK,"New York, NY: John F. Kennedy International",805,1,87,250,2853,10349,180378
LAS,"Las Vegas, NV: McCarran International",1539,9,58,145,3849,15381,175508
LAX,"Los Angeles, CA: Los Angeles International",1615,23,92,295,4469,18771,220952
LGA,"New York, NY: LaGuardia",881,1,160,557,4184,10507,270999
MCO,"Orlando, FL: Orlando International",1244,12,66,96,3379,12146,181040
MDW,"Chicago, IL: Chicago Midway International",867,10,56,99,1828,7808,84528
MIA,"Miami, FL: Miami International",601,5,49,87,1929,5753,109139
MSP,"Minneapolis, MN: Minneapolis-St Paul International",877,8,76,251,2652,11647,155146
ORD,"Chicago, IL: Chicago O'Hare International",3003,12,217,1715,8945,30085,654530
PDX,"Portland, OR: Portland International",459,5,11,40,1228,4849,55996
PHL,"Philadelphia, PA: Philadelphia International",673,4,81,167,2217,8649,138248
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1264,15,48,232,3301,17864,157548
SAN,"San Diego, CA: San Diego International",769,6,29,99,1715,8080,75912
SEA,"Seattle, WA: Seattle/Tacoma International",781,12,27,69,2357,8729,111154
SFO,"San Francisco, CA: San Francisco International",837,7,56,216,3010,11810,153775
SLC,"Salt Lake City, UT: Salt Lake City International",839,17,65,127,2282,12685,100343
TPA,"Tampa, FL: Tampa International",768,9,37,78,2053,7656,107009
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1849,5,422,352,7157,34623,415346
BOS,"Boston, MA: Logan International",681,3,99,255,2376,10578,138804
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",652,4,36,50,1485,8611,70098
CLT,"Charlotte, NC: Charlotte Douglas International",540,7,37,175,2041,10517,97202
DCA,"Washington, DC: Ronald Reagan Washington National",409,2,37,182,1387,7363,62238
DEN,"Denver, CO: Denver International",1246,8,62,233,3488,19664,160179
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2099,3,77,1470,5149,23486,267149
DTW,"Detroit, MI: Detroit Metro Wayne County",843,4,40,207,2312,14079,124379
EWR,"Newark, NJ: Newark Liberty International",875,7,77,226,3596,12275,253696
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",539,3,15,36,1436,6270,70740
IAD,"Washington, DC: Washington Dulles International",546,1,19,139,1415,6396,86536
IAH,"Houston, TX: George Bush Intercontinental/Houston",1035,11,33,99,3011,15716,151012
JFK,"New York, NY: John F. Kennedy International",629,0,58,153,2550,9905,166334
LAS,"Las Vegas, NV: McCarran International",980,7,17,111,2706,14702,118808
LAX,"Los Angeles, CA: Los Angeles International",1116,9,21,268,3811,18288,173308
LGA,"New York, NY: LaGuardia",683,2,137,516,3952,10279,225366
MCO,"Orlando, FL: Orlando International",861,5,24,79,2397,11533,117746
MDW,"Chicago, IL: Chicago Midway International",548,3,61,28,1275,7697,57871
MIA,"Miami, FL: Miami International",449,3,22,56,1478,5348,77729
MSP,"Minneapolis, MN: Minneapolis-St Paul International",600,0,71,160,2113,11356,125343
ORD,"Chicago, IL: Chicago O'Hare International",2302,3,134,1327,7461,30003,509144
