Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",686,6,61,80,1584,8871,72518
CLT,"Charlotte, NC: Charlotte Douglas International",1051,3,55,129,3165,10327,142197
DCA,"Washington, DC: Ronald Reagan Washington National",634,4,77,167,1886,7578,87084
DEN,"Denver, CO: Denver International",1407,6,81,308,3641,19579,178213
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1748,6,162,751,4865,24273,282645
DTW,"Detroit, MI: Detroit Metro Wayne County",998,11,54,259,3137,14944,161762
EWR,"Newark, NJ: Newark Liberty International",1089,13,130,472,5369,13070,409704
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",613,5,20,49,1662,6345,86110
IAD,"Washington, DC: Washington Dulles International",791,6,48,247,1971,8239,119473
IAH,"Houston, TX: George Bush Intercontinental/Houston",1052,10,71,153,3249,17186,176035
JFK,"New York, NY: John F. Kennedy International",1095,8,135,331,4022,10665,251610
LAS,"Las Vegas, NV: McCarran International",1302,9,50,122,3186,15226,152719
LAX,"Los Angeles, CA: Los Angeles International",1278,23,71,232,3571,19093,169768
LGA,"New York, NY: LaGuardia",761,1,160,435,3848,10336,232133
MCO,"Orlando, FL: Orlando International",909,9,30,50,2419,10967,125840
